店名,住所,営業時間,定休日,緯度,経度,URL,電話番号,詳細
若狭ふれあい市場茨木店,大阪府茨木市双葉町７−８ クロタニビル,10:00～18:00,不定休,34.8167712,135.5780222,,,若狭で収穫した新鮮野菜や水産物、加工品を購入できるアンテナショップ
坂井市アンテナショップ（名称未定）,東京都品川区平塚３丁目４,未定,未定,35.61605133,139.712328,,,坂井市のアンテナショップ
ふくい食の國２９１,東京都中央区銀座1-5-8　Ginza Willow Avenue BLDG １階・地下１階,未定,未定,35.674574,139.7671049,,,"【１階】
・食を中心とした県産品販売コーナー
・観光移住情報コーナー

【地下１階】
・福井の食を気軽に・存分に感じるイートインコーナー
・県の魅力や文化を発信・体験できるイベントコーナー"
さばえめがね館  |  東京都,東京都千代田区内幸町1-7-1 H06,11:00～19:00,12月31日～1月2日,35.6697753,139.7588194,https://sabaemeganekan.jp/,03-6807-5655,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  宮城県,宮城県仙台市青葉区中央1丁目3-1 仙台アエル店（ショップ&ワンダーアエル２F）,10:00～20:00,,38.262683,140.881269,https://sabaemeganekan.com/publics/index/187/,022-796-3450,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  熊本県,熊本県熊本市中央区桜町3番10号　　SAKURAMACHI KUMAMOTO 2F,10:00～21:00,無休,32.8001831,130.7038171,https://sabaemeganekan.com/publics/index/118/,096-321-6551,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  福岡県,福岡県福岡市中央区天神地下街西5番街,10:00～20:00,無休,33.589986,130.399501,https://sabaemeganekan.com/publics/index/117/,092-707-0732,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  宮崎県,宮崎県宮崎市橘通西3-10-32 宮崎ナナイロ東館2階,10:00～20:00,宮崎ナナイロに準ずる,31.9160367,131.4227644,https://sabaemeganekan.com/publics/index/116/,0985-78-4107,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  栃木県,栃木県宇都宮市インターパーク４丁目１−２,10:00～19:00,水曜日,36.4949837,139.9063408,https://sabaemegane-inpa.jp/,028-656-7750,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館　長崎浜町店  |  長崎県,長崎県長崎市浜町7-15,10:00～19：00,元旦,32.7435471,129.8790656,https://sabaemeganekan.com/publics/index/115/,095-801-0510,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  京都府,京都市中京区寺町通四条上ル（寺町京極商店街）中之町548-5-1F,12:00～19:45,無休,35.0044462,135.7669304,https://0291.on.omisenomikata.jp/,075-251-0291,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
さばえめがね館  |  鹿児島県,鹿児島県鹿児島市中町10-4 丸新ビル1F,10:00～19:00,元旦,31.5929492,130.5565105,https://sabaemeganekan.com/publics/index/114/,099-201-7887,100年以上の歴史を持ち、「めがねの世界産地」として知られる福井・鯖江の産地製品を一人でも多くの方々にお届けするため「さばえめがね館」は誕生しました。眼鏡産地とお客様をつなぐため信頼できるパートナー様のご協力によりサポート拠点を確立していくことや産地が持つ、技術やデザイン力に自信のあるメーカーが集結し、「メイド・イン・ジャパン」の顔となることを目指すことなどこれらの活動を通して「消費者様に安全、安心、感動、満足を約束する」というコンセプトを実現するために、運営を行っております。
